Star Name,Size (in miles),Type (OBAFGKM Scale),Luminosity (Absolute Magnitude),Color,Composition,Image
Ups Phe,--,A1(V)+F1(V),5.207,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Ups_Phe.jpg
Iot Tuc,--,G5III,5.342,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Iot_Tuc.jpg
31    Cas,--,A0Vnn,5.309,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\31____Cas.jpg
Zet Phe,--,B6V+B9V,4.014,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Zet_Phe.jpg
44    And,--,F8V,5.665,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\44____And.jpg
32    Cas,--,B9IV,5.564,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\32____Cas.jpg
32    Cet,--,K0III,6.394,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\32____Cet.jpg
33    Cet,--,K4/5III,5.942,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\33____Cet.jpg
45    And,--,B7III-IV,5.786,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\45____And.jpg
82    Psc,--,F0V,5.152,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\82____Psc.jpg
34    Cet,--,K3III,5.918,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\34____Cet.jpg
87    Psc,--,B8III,5.962,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\87____Psc.jpg
37    Cet,--,F5V,5.13,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\37____Cet.jpg
88    Psc,--,G6III:,6.022,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\88____Psc.jpg
38    Cet,--,F3V,5.69,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\38____Cet.jpg
39    Cet,--,G6III:eFe-2,5.428,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\39____Cet.jpg
Kap Tuc,--,F6V+K1V,4.25,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Kap_Tuc.jpg
89    Psc,--,A1V,5.137,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\89____Psc.jpg
35    Cas,--,A2Vnn,6.322,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\35____Cas.jpg
42    Cet,--,G8IV+A(8),5.87,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\42____Cet.jpg
91    Psc,--,K5III,5.223,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\91____Psc.jpg
43    Cet,--,K0III,6.503,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\43____Cet.jpg
47    And,--,A2Vm,5.587,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\47____And.jpg
44    Cet,--,A9V,6.21,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\44____Cet.jpg
46    Cet,--,K2+III-IIIbCN0.5,4.907,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\46____Cet.jpg
94    Psc,--,K1III,5.495,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\94____Psc.jpg
47    Cet,--,F0.5V,5.505,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\47____Cet.jpg
38    Cas,--,F6V,Unknown,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\38____Cas.jpg
Gam Phe,--,M0III,3.42,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Gam_Phe.jpg
49    And,15100000.0,K0III,5.261,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\49____And.jpg
97    Psc,--,A3Vb_lB,6.023,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\97____Psc.jpg
48    Cet,--,A0V,5.104,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\48____Cet.jpg
Del Phe,--,G8.5IIIb,3.935,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Del_Phe.jpg
49    Cet,2310000.0,A1V,5.607,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\49____Cet.jpg
101    Psc,--,B9.5III,6.219,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\101____Psc.jpg
40    Cas,--,G7III-IIIb,5.281,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\40____Cas.jpg
50    Cet,--,K1.5III,5.402,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\50____Cet.jpg
Tau Scl,--,F2V,Unknown,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Tau_Scl.jpg
51    And,29600000.0,K3-IIICN0.5,3.57,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\51____And.jpg
Alp Eri,--,B6Vpe,0.46,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Alp_Eri.jpg
105    Psc,--,K2III,5.979,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\105____Psc.jpg
43    Cas,4800000.0,A0VpSiSrEuHgMn,5.59,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\43____Cas.jpg
42    Cas,--,B9V,5.174,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\42____Cas.jpg
44    Cas,--,B8IIIn,5.76,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\44____Cas.jpg
107    Psc,--,K1V,5.24,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\107____Psc.jpg
Phi Per,--,B1.5V:e-shell,4.06,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Phi_Per.jpg
Pi  Scl,--,K1II/III,5.256,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Pi__Scl.jpg
